Альфред Нобель	Он прочёл в газете свой некролог, после чего и премию учредил.
Скунский камень	Рождественским утром 1950 г. четверо шотландских студентов из университета Глазго (Ян Гамильтон, Гэвин Вернон, Кей Мэтисон, и Алан Стюарт) незаметно проникли в Вестминстерское аббатство и похитили ЕГО
камень глупости	ЕГО извлекают из головы на картине, приписываемой Босху. Есть также и другие картины на этот сюжет.
Извлечение камня глупости	Картина, приписываемая Босху. Из головы достают лишнее.
Макс фон Сюдов	Этот недавно скончавшийся актёр исполнил роль Антониуса Блока в "Седьмой печати".
Маньеризм	течение в западноевропейском искусстве 1520 — 1590-х годов. Характеризуется утратой ренессансной гармонии между телесным и духовным, природой и человеком. Узнаётся по сложным позам людей на картинах и скульптурах.
This is America	Childish Gambino. Этот сингл дебютировал на первой строчке в Billboard Hot 100 и получил две основные премии Грэмми-2019 в категориях Запись года и Песня года.
Пугало	суперзлодей вселенной DC Comics, враг Бэтмена. Психиатр, использующий различные виды наркотиков и психологическое давление, чтобы вызвать страх и панику у своих врагов.
Склад красных сельдей	Ситуация, нередко встречающаяся в компьютерных играх, особенно квестового жанра: персонаж должен выбраться из какой-то передряги или решить некую задачу, и вокруг него полно предметов, которые (вроде бы) должны ему помочь — но на самом деле они все бесполезны, а задача решается каким-то простым и вместе с тем нетривиальным способом.
амслен	американский жестовый язык
Толстяк	На Хиросиму сбросили "Малыш", а на Нагасаки -- ЕГО
Малыш	На Нагасаки сбросили "Толстяк", а на Хиросиму -- ЕГО
Царь-бомба	ОНА является самым мощным изготовленным взрывным устройством за всю историю человечества. ОНА внесена в книгу рекордов Гиннесса, как самое мощное термоядерное устройство, прошедшее испытание.
Филадельфийский эксперимент	мифический эксперимент, предположительно проведённый ВМC США 28 октября 1943 года, во время которого якобы исчез, а затем мгновенно переместился в пространстве на несколько десятков километров эсминец «Элдридж»
Фильм Запрудера	26-секундный любительский документальный кинофильм, снятый в Далласе в день убийства Джона Кеннеди 22 ноября 1963 года.
Абрахам Запрудер	ОН снял 26-секундный фильм об убийстве Кеннеди.
Леди Бабушка	неустановленная женщина, которая, возможно, сняла на камеру процесс убийства Джона Кеннеди. Такое прозвище она получила из-за того, что была закутана в платок, напоминающий головные уборы русских женщин пожилого возраста.
Шарбат Гула	афганская женщина, ставшая известной благодаря фотографии, которая была сделана журналистом Стивом Маккарри во время Афганской войны, когда Гула жила на территории Пакистана в лагере беженцев.
National Geographic	Afgani girl -- фотография на обложке этого журнала
Отряд 731	специальный отряд японских вооружённых сил, занимался исследованиями в области биологического оружия, опыты производились на живых людях (военнопленных, похищенных). В этом отряде также проводились бесчеловечные опыты с целью установления количества времени, которое человек может прожить под воздействием разных факторов (кипяток, высушивание, лишение пищи, лишение воды, обмораживание, электроток, вивисекция людей и др.).
Женщины для утешения	эвфемизм, вошедший в употребление в годы Второй мировой войны для обозначения женщин, вынужденными быть сексуальными рабынями для обслуживания солдат и офицеров Императорской армии Японии в оккупированных странах и территориях до и во время Второй мировой войны
поджог Рейхстага	ОН произошёл 27 февраля 1933 года и сыграл важную роль в укреплении власти нацистов в Германии.
Маринус ван дер Люббе	По официальной версии нацистов, поджог рейхстага совершил ОН.
Георгий Димитров	ОН хорошо знал немецкий язык и превратил Лейпцигский процесс в обвинительный процесс против нацистов.
Лейпцигский процесс	Суд по поводу поджога Рейхстага.
Георгий Димитров	ЕГО называли «болгарским Лениным» и вождём болгарского народа. После смерти ему был построен мавзолей в Софии наподобие ленинского.
Данте Алигьери	Для русского языка -- Пушкин, а для итальянского?
Данте Алигьери	итальянский поэт, мыслитель, богослов, один из основоположников литературного итальянского языка,
Mayday	международный сигнал бедствия в радиотелефонной (голосовой) связи, аналогичный сигналу SOS в радиотелеграфной связи (с использованием азбуки Морзе).
HMS Dreadnought	британский линкор, совершивший революцию в военно-морском деле, родоначальник нового подкласса линейных кораблей, названного в его честь. Шестой корабль Королевского флота, носивший это название.
Трансцендентность	то, что принципиально недоступно опытному познанию, выходит за пределы чувственного опыта.
Трансцендентность Эго	Эссе Сартра, опубликовано до "Тошноты".
Татуин	вымышленная планета из фантастической киноэпопеи «Звёздные войны».
Колыбель для кошки	игра, в которой нитью (верёвкой, шнурком), надетой на пальцы, образуют различные узоры (фигурки). Иногда процессу помогают зубами, запястьем и ступнями.
Хет-трик Горди Хоу	в хоккее с шайбой неофициальное название особого вида хет-трика, когда игрок в течение одного матча забрасывает шайбу, делает голевую передачу и участвует в драке.
1924	Первые Зимние Олимпийские игры прошли в этом году.
Шамони	Первая Зимняя Олимпиада прошла в 1924 в этом городе.
одноглазый	в стране слепых и ОН -- король
в стране слепых	ТАМ и одноглазый -- король
Мера за меру	В этой пьесе Шекспира голову Клавдио якобы казнённого подменяют головой разбойника.
Чарльз Линдберг	американский лётчик, ставший первым, кто перелетел Атлантический океан в одиночку (20—21 мая 1927 года по маршруту Нью-Йорк — Париж).
Петрократия	властные структуры, опирающиеся на владение или распоряжение нефтью, либо государство, один из основных доходов которого составляет доход от продажи этого сырья (петрогосударство). Иногда понятие расширяют на режимы, получающие основной доход от продажи природного газа, либо нефти и газа суммарно.
Ламбик	вид бельгийского пива. Готовится методом самопроизвольного брожения в бочках, которые использовались ранее для выдержки вин.
чашка кофе Сталина	Согласно известной байке, кольцевая ветка метро Москвы появилось благодаря ЕЙ.
Кипр	Латинское название меди происходит от латинского названия ЕГО.
Апартеид	официальная политика расовой сегрегации, проводившаяся правившей в Южно-Африканском Союзе и Южно-Африканской Республике Национальной партией с 1948 по 1994 год.
Колыбель для кошки	"Лёд-девять" описан в этом романе Курта Воннегута.
Jägermeister	немецкий крепкий (35 % крепости) ликёр, настоянный на травах.
CIA	ЦРУ по-английски
Попай	Его имя образовано от англ. «лупоглазый», «пучеглазый», буквально «Лупоглаз». Русскими буквами.
Учитель фехтования	Роман с таким названием есть и у Дюма, и у Переса-Реверте.
Орора Сатоси	Самый тяжёлый борец сумо за всю историю с максимальным весом 293 кг в 2018 году. Японское имя (псевдоним)
Анатолий Михаханов	Орора Сатоси, настоящие имя и фамилия.
затычка	ЧГК: ответ, который сдаётся без уверенности, чтобы сдать хоть что-то.
Жестяной барабан	В центре повествования — история Оскара Мацерата, который в свой третий день рождения, в 1927 году, отказывается расти в знак протеста против обывательской жизни взрослых, которую вели его родственники, и долгие годы сохраняет рост 94 см.
Назовите роман.
Волшебная гора	Ганс Касторп приезжает навестить двоюродного брата, находящегося в санатории для больных туберкулёзом, расположенном вдали от мирской суеты, высоко в Альпах, где-то рядом с Давосом. Назовите роман.
Волшебная гора	Роман Томаса Манна, санаторий для больных туберкулёзом, персонажи олицетворяют разные подходы к жизни, герой остаётся на много лет вместо нескольких дней.
Томас Манн	"Волшебная гора", роман, автор
Роман воспитания	тип литературной формы, получивший распространение в литературе немецкого Просвещения. Его содержанием является психологическое, нравственное и социальное формирование личности главного героя.
Нож для колки льда	Орудие убийства из "Основного инстинкта".
Основной инстинкт	В этом фильме орудием убийства был нож для колки льда.
Моисей	Он 40 лет водил по пустыне
сорок лет	Столько времени Моисей водил евреев по пустыне.
го	поле для этой игры когда-то расчерчивали мечом (катаной)
Венская битва	Победа христиан в НЕЙ навсегда положила конец завоевательным войнам Османской империи на европейской земле, а Австрия на десятилетия стала самой мощной державой Центральной Европы.
мушки	XVII и особенно XVIII век условно именуются «эпохой флирта», когда праздные аристократы прибегали к жеманству, намёкам, избегая выражать прямо согласие или отказ. ОНИ, приклеенные на лице особым образом, помогали иносказательно выражать чувства их обладателя.
Стокгольм	корабль Ваза подняли около этой столицы
Слеза комсомолки	Один из известных коктейлей из "Москва - Петушки"
Очередь	польская настольная игра, в которой воспроизведены трудности, связанные с нехваткой товаров при социалистическом режиме[1]. Игра, разработанная польским государственным Институтом национальной памяти[2] и вышедшая 5 февраля 2011 года[3][4], создана как учебное пособие, цель которого — повысить осведомлённость польской молодёжи о новейшей истории страны. Возраст 12+.
Очередь	В ЭТОЙ ИГРЕ принимают участие от двух до пяти человек. Указан минимальный возраст для участия в игре — 12 лет[5]. По словам создателя игры Кароля Мадая, сотрудника Института национальной памяти[6], это ограничение введено потому, что испытания игры показали: разочарование, вызываемое реальностью тех дней, было слишком тяжёлым для детей до 12 лет, в то время как игроки более старшего возраста (самому старшему из участников испытаний было 84 года) находили игру весёлой и смешной[3].
Законы Кеплера	ОНИ описывают идеализированную гелиоцентрическую орбиту планеты. Открыты в 17 веке.
связали	Это сделали лилипуты с Гулливером.
колонии	пчелиные семьи иначе называются так
Бабушка Европы	прозвище Королевы Виктории.
Атолл Бикини	ОН наиболее известен как полигон ядерных испытаний США.
Маршалловы острова	Атолл Бикини является частью ИХ
Микронезия	Маршалловы острова (те, где атолл Бикини) находятся в этой группе островов Океании.
Дездемона	Роковой носовой платок принадлежал ЕЙ.
Лавсановые ленты	ОНИ специально разработаны для пластических операций на связках и сухожилиях. Два слова на одну букву.
вред курения табака	Одно из первых сочинений об ЭТОМ было опубликовано в 1602 году в Англии.
Работа трубочистов или предупреждение табачникам	Одна из первых работа о вреде курения, 1602 год.
Юпитер	Третий сын Сатурна и Опы. Брат Плутона, Нептуна, Цереры и Весты, а также своей жены Юноны.
Юпитер	Аналог Зевса в римском Пантеоне.
Зевс	Аналог Юпитера у греков.
Спутники Юпитера	Так как у него было много любовниц, в честь них ИХ и назвали.
Ганимед	согласно греческой мифологии, прекрасный юноша, сын троянского царя Троса. Из-за своей красоты он был похищен зевсовым орлом на Олимп, где сделался виночерпием на пирах богов и возлюбленным Зевса. Ему также были дарованы бессмертие и вечная молодость. Любовник Зевса.
Апостол Пётр	ОН художественно-символически изображается с ключами от рая, стражем которого является, с седыми недлинными волосами и бородой, в жёлто-синем облачении.
Даная	Мать Персея. Оплодотворена Зевсом в виде золотого дождя.
золотой дождь	В виде НЕГО Зевс оплодотворил Данаю.
Акрисий	По легенде впоследствии Персей все же случайно убил ЕГО (своего отца) во время гимнастических состязаний. Персей случайно бросил диск туда, где стояли зрители.
Персей	ОН и в бочке поплавал, и отца случайно убил.
Даная	ЕЁ заключили в подземный медный дом и приставили к ней служанку.
летающая крепость	нарицательное имя, описывающая крупный, многомоторный, хорошо оснащённый оборонительным вооружением летательный аппарат.
коготь Архимеда	изобретение древнегреческого учёного и математика. Изначально этот вид оружия создавался для конкретной цели — защиты городских стен Сиракузы от римских захватчиков. Коготь выглядел наподобие гигантского крана, оснащённого большими крюками-кошками.
Иван родил девчонку, велел тащить пелёнку.	Порядок падежей русского языка позволяет запомнить эта мнемоника.
полотно	У пил (особенно гибких) есть ОНО.
1492	В этом году Колумб высадился в Новом Свете (Америка)
Polka dot	Узор "в горошек" на английском называется так.
Polka-Dot Man	Этого злодея, противника Бэтмена, помог поймать леопард.
остров	Нет человека, который был бы как ОН, сам по себе (с) Джон Донн
Джон Донн	Нет человека, который был бы как Остров, сам по себе, каждый человек есть часть Материка, часть Суши. Автор цитаты.
Империус	«распоряжение», «владычество», «власть над кем-либо») — одно из трёх «Непростительных заклятий», применение его к человеку карается заключением в Азкабан. Полностью подчиняет человека воле наложившего это заклятие волшебника.
Пианист	Этот фильм получил Золотую Пальмовую Ветвь в 2002 году и 3 Оскара (в т.ч. за лучшую мужскую роль и лучший сценарий) в 2003.
Точность - вежливость королей	Это высказывание французского короля Людовика XIV фактически послужило причиной бурного развития этикета в Европе.
Луизианская покупка	Сделка по приобретению Соединёнными Штатами французских владений в Северной Америке в 1803 году.
Синдром внезапной детской смерти	внезапная смерть от остановки дыхания внешне здорового младенца или ребёнка до 1 года, при которой вскрытие не позволяет установить причину летального исхода.
1861	Гражданская война севера и юга в США началась в этом году.
1865	Гражданская война севера и юга в США закончилась в этом году.
Конфедеративные Штаты Америки	де-факто независимое государство (на протяжении 1862—1863 гг. почти добившееся признания своего суверенитета Британской империей и Францией, но после поражения в битве при Геттисберге так и не признанное ни одной страной), существовавшее в период с 1861 по 1865 год в южной части Северной Америки, на части территории современных Соединённых Штатов Америки.
Битва при Геттисберге	самое кровопролитное сражение в ходе Гражданской войны в США, произошедшее 1—3 июля 1863 года в округе Адамс штата Пенсильвания и считающееся переломной точкой в конфликте.
Делавэр	ОН известен как «Первый штат», поскольку 7 декабря 1787 года первым из 13 колоний ратифицировал Конституцию США.
Чичен-Ица	политический и культурный центр майя на севере полуострова Юкатан в Мексике, священный город народа. Признан одним из 7 новых чудес света.
Пусть расцветают сто цветов, пусть соперничают сто школ	лозунг, под которым китайский лидер Коммунистической партии Китая (КПК) Мао Цзэдун провозгласил в 1957 году широкую кампанию по усилению гласности и критики.
Политика одного ребенка	демографическая политика Китая, проводившаяся в 1979-2015 годах
Уничтожение воробьёв	наиболее примечательная сторона масштабной кампании по борьбе с сельскохозяйственными вредителями, организованной в Китае в рамках политики Большого скачка (1958—1962).
тан	кисломолочный напиток, приготовляемый из коровьего или козьего молока с добавлением закваски молочнокислых бактерий (болгарская палочка, термофильный стрептококк), молочных дрожжей, воды и поваренной соли. Широко распространён у горных жителей Кавказа и народов Средней Азии, где традиционно производится из мацони
Цинь Шихуанди	Терракотовая армия была найдена около ЕГО мавзолея.
венецианский мавр	Отелло -- это ОН.
секрет Полишинеля	фразеологическое выражение, мнимую тайну, «тайну — на весь свет».
Выражение происходит от имени комического персонажа комедии дель арте.
