Эдвард Хоппер	"Полуночники", 1942. Художник.
Йозеф Бойс	Этот художник служил в Люфтваффе, был сбит над крымом, а потом вспоминал татар.
Эрик Булатов	Один из самых известных современных русских художников — основателей соц-арта. Работает с советскими плакатными шрифтами и вообще в таком стиле.
Кирилл Кто	Современный российский граффити-художник. "Спасибо за внимание и попытку понимания". Живой.
Яёи Кусама	японская художница. Её живопись, коллажи, мягкие скульптуры, перформансы и инсталляции разделяют одержимость повтором, узорами, аккумуляцией. В её работах присутствуют черты феминизма, минимализма, сюрреализма, ар брют, поп-арта и абстрактного экспрессионизма, наполнены автобиографическим, психологическим и сексуальным содержанием.
Яёи Кусама	У этой художницы яркие цвета вследствие её психического заболевания.
Без названия	известная картина (или цикл картин) Марка Ротко, 1952. Как и другие работы Ротко этого периода, картина состоит из больших цветовых пространств, очерченных неровными, туманными линиями. Продана на Кристис анонимным клиентом за 66,2 миллиона долларов
Марк Ротко	Картины этого художника часто состоят из цветных полос.
Марк Ротко	Настоящее имя этого художника -- Ма́ркус Я́ковлевич Ротко́вич
Луиза Буржуа	этой скульпторше принадлежит гигантская статуя паука "Мама", установленная около Национальной Галереи Канады
Реформация	широкое религиозное и общественно-политическое движение в Западной и Центральной Европе XVI — начала XVII века, направленное на реформирование католической Церкви.
Её началом принято считать выступление доктора богословия Виттенбергского университета Мартина Лютера
Кватроченто	общепринятое обозначение эпохи итальянского искусства XV века, соотносимой с периодом Раннего Возрождения. Итал. 400.
Сандро Боттичелли	"Весна", 1477 г.-1482 г. Художник
череп	На картине Ганса Гольбейна "Послы" в необычной перспективе изображён именно он.
Ганс Гольбейн	художник, "Послы" (череп в перспективе)
Ганс Гольбейн	Этот художник написал знаменитый портет Генриха VIII
Фонтенбло	По одной из версий, название этого замка французских королей можно перевести как "прекрасный фонтан, прекрасный источник"
Похвала глупости	Небольшое сатирическое произведение Эразма Роттердамского, написанное в 1509 году. Сатира от лица Глупости (Мории) написана в форме иронического самовосхваления (энкомия) и сочетает две особенности, характерные для этого жанра в эпоху Возрождения: обращение к античным авторам и критику уклада общественной и частной жизни. Объектами критики Эразма Роттердамского становятся традиции, убеждения и суеверия европейского общества, а также церковный быт и обычаи. Несмотря на то что сам Эразм не был сторонником Реформации, его сочинение сыграло важную роль в этом религиозном движении
Эразм Роттердамский	"Похвала глупости", 1509, автор
Мартин Лютер	Он прикрепил свои "95 тезисов" к воротам церкви в Виттенберге.
95 тезисов	Их Мартин Лютер прибил к воротам церкви в Виттенберге
Виттенберг	в этом городе Мартин Лютер прибил к церкви свои "95 тезисов".
Никколо Макиавелли	Знаменитый уроженец деревни Сан-Кашано, недалеко от Флоренции
Сан-Кашано	Никкола Макиавелли родился в этой деревушке неподалеку от Флоренции
Лукас Кранах Старший	Этот художник известен портретом Мартина Лютера
Мартин Лютер	Лукас Кранах Старший известен ЕГО портретом
Пир Валтасара	во время этого мероприятия появилась рука архангела Гавриила, которая написала на стене огненные буквы, предсказавшие смерть. Царевич погиб.
мене, мене, текел, упарсин	Слова, написанные на стене на пиру Валтасара. Вариант с 4 словами.
мене, текел, фарес	Слова, написанные на стене на пиру Валтасара. Вариант с 3 словами.
Рембрандт	"Пир Валтасара", 1635, художник
Исчислено, взвешено, поделено	"мене, текел, фарес". Примерный перевод.
мене, текел, фарес	Исчислено, взвешено, поделено. 3 слова.
Шуты	Серия картин Веласкеса с придворными карликами и других придворных деятелей.
Джон Эверетт Милле	"Офелия", 1852, художник (прерафаэлит)
Офелия	Известная утопленница из "Гамлета". Также должна щёлкать на цветы и венки.
Офелия	из текста "Гамлета" нельзя однозначно определить, является ли ее гибель результатом несчастного случая или самоубийства.
псы-рыцари	Это ошибочное название участников Тевтонского ордена у нас прижилось. Ошибочный перевод. Оригинальное выражение употреблено Карлом Марксом.
Грюнвальдская битва	В ней объединенные польско-литовско-русские войска разбили Тевтонский орден. Должна щёлкать на поражение тевтонских (германских) войск. 1410 год.
Жальгирис	"Зеленый лес" (Грюнвальд) по литовски
Юдифь	Она прикинулась предательницей, готовой отвести войска ассирийцев к Иерусалиму. А потом голову вражескому полководцу и отрезала.
Олоферн	Ему отрезала голову Юдифь
Саломея	ей принесли на блюде голову Иоанна Крестителя
Окей, бумер	мем, когда человек поколения 40-х-60-х учит современную молодёжь
бумер	представитель послевоенного поколения на современном языке
Пятый пункт	Именно ОН в советском паспорте означал национальность. Переносно под этим выражением подразумевают национальность (особенно какую-то неприемлемую). Мужским родом.
Пятая графа	Именно ОНА является синонимом национальности. Основнано на советском паспорте (или военном билете).
пятый пункт	под НИМ может подразумеваться и именно еврейская национальность
лукизм	дискриминация по внешности, современный термин
Калевала	карело-финский поэтический эпос. Состоит из 50 рун (песен).
ароматы Аравии	Из "Леди Макбет": всё ещё пахнет кровью. Даже все ОНИ не смоют этой маленькой ручки.
ароматы Аравии	По словам Леди Макбет, даже никакие ОНИ не могли смыть кровь.
Макбет	Суеверные актеры считают, что ЭТА ПЬЕСА приносит несчастья.
Шотландская пьеса	Именно так называют "Макбет" суеверные работники театра.
Бирнамский лес	Когда ОН пошёл на в бой Дунсинанский холм, это ознаменовало близкую гибель Макбета
Бирнамский лес	Двигающиеся деревья предрекают смерть героя (Макбета). Потому, что солдаты замаскировались ветками оттуда. Кто "пошёл на замок"?
Леди Макбет	ОНА смотрит на руки и пытается смыть с них кровь
Бирнамский лес	Идущие/движущиеся деревья или другие растения. Что должно щёлкать.
Дунсинанский холм	Именно на него шёл Бирнамский лес в Макбете (НЕ замок).
Сумбур вместо музыки	редакционная статья в газете "Правда" от 28 января 1936 года об опере Д.Д. Шостаковича "Леди Макбет Мценского уезда"
Леди Макбет Мценского уезда	Статья "Сумбур вместо музыки" критиковала именно эту оперу Шостаковича
Риголетто	"Сердце красавицы склонно к измене" -- из этой оперы Верди
Риголетто	В этой опере заглавный герой -- шут-горбун
Риголетто	Он хотел убить (заказать) ненавистного герцога, а в итоге убили его дочь Джильду.
Король забавляется	Эта романтическая драма Виктора Гюго легла в основу оперы Верди "Риголетто".
песенка герцога	"Сердце красавицы склонно к измене" -- это ОНА.
Герцог Мантуанский	Он изменяет женщинам первый, хоть их сердце и склонно к измене.
Михаил Лермонтов	Этот русский писатель и поэт, как считается, имел шотландские корни, восходящие к барду-пророку.
Клеопатра	ОНА растворила в заранее приготовленном уксусе серьгу с драгоценной жемчужиной и выпила его. Спор был о том, что она потратит целое состояние.
Жемчужина	Именно ЕЁ выпила Клеопатра (предварительно растворив в уксусе).
потлач	Традиционная церемония демонстративного обмена дарами у североамериканских индейцев, причем чем больше дар, тем более высоким становится статус дарителя.
потлач	церемония демонстративного обмена дарами и подчас даже уничтожения "излишних материальных ценностей". У индейцев.
Антуан Ломе де Ламот де Кадильяк	Именно он основал Детройт. В честь него потом и автомобильный бренд назвали.
Ури Геллер	Этот израильский фокусник-иллюзионист стал известен благодаря сгибанию металлических ложек "силой мысли".
Василий Перов	"Охотники на привале", 1871, художник
Чаепитие в Мытищах, близ Москвы	Картина Василия Перова с самоваром, попом и инвалидом с мальчиком-поводырём, 1862, Третьяковка.
"Зубило" и "Шайба"	Именно в матче этих футбольных команд Старик Хоттабыч увеличивал ворота одни и уменьшал ворота других.
Стэн Ли	Уроженец Манхэттена, который создал Человека-паука, Халка, Доктора Стрэнджа, Фантастическую четвёрку, Железного человека, Сорвиголову, Тора, Людей Икс и многих других вымышленных персонажей. Недавно умер (2018 год)
Король, дама, валет	Роман Набокова 1928 года. Пародия на бульварный адюльтерный роман. Написан в берлинский писатель жизни писателя. Жена Марта и любовник-племянник мужа Франц планируют убить мужа Драйера, но с первой попытки не решаются. Марта попадает под дождь и умирает.
Никто	Так назвал себя Одиссей для Полифема.
Полифем	Колом из ЕГО дубины Одиссей ЕГО же и ослепил.
Полифем	Чтобы убежать от НЕГО, Одиссей спрятался под брюхом его любимого барана, а остальная команда -- под брюхами остальных овец (связали овец по 3 и прятались под брюхом средней).
Полифем	Его имя значит «много упоминаемый в песнях и легендах»
Энеида	Это эпическое произведение Вергилия во многом повторяет "Одиссею" и восхваляет Октавиана Августа. В поэме приведены легенды, дающие обоснование извечной вражде между Римом и Карфагеном, а также возникновению латинов.
Из Энеиды два стиха	Именно их "Да помнил, хоть не без греха" Евгений Онегин.
Мельпомена	муза трагедии
Клио	муза истории
Талия	муза комедии
Урания	муза астрономии
Каллиопа	муза эпической поэзии
Эвтерпа	муза лирической поэзии и музыки
Эрато	муза любовной поэзии
Полигимния	муза торжественных гимнов, а также сельского хозяйства и пантомимы
В шесть часов вечера после войны	Йозеф Швейк с сапером Водичкой договорились встретиться именно в это время.
В 6 часов вечера после войны	Название этого фильма Ивана Пырьева 1944 года позаимствовано из "Похождений бравого солдата Швейка".
Иван Пырьев	"В 6 часов вечера после войны", 1944, режиссёр
макароническая поэзия	род шуточных стихов, где эффект комизма достигается смешением слов и форм из различных языков. Например -- "Энеида" Котляревского
Иван Котляревский	Этот украинский поэт и переводчик написал поэму-бурлеск на сюжет "Энеиды" Вергилия
Ил	это сын Троса основал Трою (Илион)
принцип Талиона	"Око за око, зуб за зуб" -- это ОН.
Мост Вздохов	ОН ИХ в Венеции соединяет здание Дворца дожей, в котором располагался зал суда, и здание тюрьмы. Подразумеваются печальные ОНИ осуждённых, которые, проходя под стражей по этому крытому мосту, в последний раз бросали взгляд на Венецию.
Чертов мост	В 1799 году в ходе Швейцарского похода Суворова русские войска, продемонстрировав высокое тактическое искусство и героизм, с боем прошли по нему. А заодно его и починили.
Смерть в Венеции	новелла Томаса Манна, впервые опубликованная в 1912. Писатель Густав фон Ашенбах влюбляется в мальчика Тадзио и умирает.
Томас Манн	"Смерть в Венеции", 1912, автор
Дафна	Она, давшая обет целомудрия, бежала от Аполлона и превратилась в лавр.
Жизнь в розовом цвете	Фильм-биография Эдит Пиаф (2007). Также известен как "Малышка".
Эдит Пиаф	Фильм "Жизнь в розовом цвете" -- это ЕЁ биография.
Малышка	Фильм "Жизнь в розовом цвете" (биография Эдит Пиаф) также известен под этим названием.
Козленок	В мультфильме 1968 именно он всех подряд считал (до десяти)
молния	срочную телеграмму называют именно так
Кадм	Зубы побеждённого им дракона он, по совету Афины, посеял в землю, и из них выросли воины «спарты» («посеянные»), которые сразу же вступили в борьбу друг с другом, пока не остались в живых из них всего пятеро, ставшие соратниками.
Наука умеет много гитик	Крылатая фраза, поговорка, изначально предназначенная для демонстрации фокуса с двадцатью игральными картами. Каждая буква повторяется по два раза, что помогает найти позицию карты в рядах 5 * 4.
Кадм	Он основал Фивы (по легенде)
Кадм	ЕМУ греческая традиция приписывает изобретение алфавита
Кадмейская победа	Победа, доставшаяся слишком дорогой ценой; победа, равносильная поражению. Метафора, относящаяся к победе основателя Фив.
Ясон	Он также сеял зубы дракона. Но он не Кадм. Он должен был быками вспахать поле, засеянное зубами дракона.
Инспекторы "Мишлен"	Они всегда делают заказ в ресторане анонимно, сами оплачивают счет, пишут очень подробные отчеты и фотографируют.
Лякросс	В этой игре используется клюшка с сеткой.
Панголин	Его название происходит от малайского «сворачивающийся в шар». Он ест муравьёв и термитов.
Ганимед	Согласно греческой мифологии, прекрасный юноша, сын троянского царя Троса. Из-за своей красоты он был похищен зевсовым орлом на Олимп, где сделался виночерпием на пирах богов и возлюбленным Зевса.
Клитемнестра	ОНА убита собственным сыном Орестом
Кассандра	Вместе со своим мужем Агамемноном Клитемнестра убила ещё и её (любовницу Агамемнона).
Кассандра	В силу проклятия Аполлона её пророчества сбывались, но им никто не верил.
Кассандра	Она предвидела гибель Трои, но ей никто не поверил. Она напрасно противилась введению Троянского коня в город.
Олимпиада	эпирская царевна, жена македонского царя Филиппа II и мать Александра Македонского.
экзит-полл	используемая в мировой социологической практике процедура опроса граждан, производимого социологическими службами на выходе из избирательных участков после голосования.
Бостон	в этом городе родился Эдгар Аллан По
маленькое черное платье	Его придумала в 1926 году Коко Шанель в память о погибшем возлюбленном.
Комната Эймса	ОНА -- оптическая иллюзия -- используется в кинематографе, чтобы исказить относительный рост людей: показать кого-то карликом или гигантом.
Fred Perry	У этого английского бренда спортивной одежды на лототипе лавровый венок. Основана тоже теннисистом, как и Lacoste.
Кристофер Рив	Этот исполнитель роли Супермена упал с лошади и остался парализованным колясочником.
Окно во двор	Фильм Хичкока, 1954 год. Действие происходит во дворе-колодце. Герой с загипсованной переломанной ногой сидит в кресле и наблюдает за жизнью за окном.
Головокружение от успехов	Статья Сталина, изданная 2 марта 1930. О чреземерной коллективизации на местах. Назвать первые три слова из полного названия (остальное в ЧГК обычно не спрашивают).
туман	официальная денежная единица Персии c 1825 по 1932 годы.
Птицы	кинофильм Альфреда Хичкока, снятый в 1963 году по мотивам одноимённого рассказа Дафны Дюморье. Самоуверенную героиню и всех вокруг атакуют представители животного мира. Впоследствии животные герои значительно ассоциировались с самим Хичкоком.
Шота Руставели	"Витязь в тигровой шкуре", автор
Витязь в тигровой шкуре	эпическая поэма, написанная на грузинском языке Шота Руставели, в XII веке, вероятнее всего между 1189—1212 годами.
Какой артист погибает	Эту крылатую фразу повторял Нерон перед самоубийством.
Запретный город	самый обширный дворцовый комплекс в мире (961 x 753 метров, 720 тыс. м², 980 зданий). Находится в центре Пекина, к северу от главной площади Тяньаньмэнь и восточнее озёрного квартала (резиденции современных руководителей страны).
Неизвестный бунтарь	Легендарная фотография человека, останавливающего колонну танков во время протестов 1989 года на площади Тяньаньмэнь.
Инцитат	конь Калигулы, которого тот сделал сенатором
Лже-Нерон	Роман Лиона Фейхтвагнера. Спасшиеся самозванцы, выдававшие себя за Луция Домиция Агенобарба.
Лион Фейхтвагнер	"Лже-Нерон" (роман 1936 года), автор
София	это имя на древнегреческом означает «мудрость, разумность, наука»
Метроном	В Праге в 1991 году двадцатичетырехметровый ОН сменил памятник Сталину и, по замыслу Вратислава Новака, должен символизировать неумолимость хода времени.
Человек, который принял жену за шляпу	одна из наиболее известных книг британского невролога, популяризатора медицины Оливера Сакса, 1985. В первых двух разделах автор делает акцент на правом полушарии головного мозга, а в третьем и четвёртом непосредственно описывает спонтанные воспоминания, изменённое состояние сознания и необычные качества ума, обнаруженные у людей с умственной отсталостью.
Оливер Сакс	"Человек, который принял жену за шляпу", 1985, автор.
Притцкеровская премия	Аналог Нобелевской премии для архитектуры
мертвая голова	Эта бабочка получила одно из своих названий за рисунок на теле, похожий на череп.
Труд Пенелопы	Этот фразеологизм аналогичен по смыслу "Сизифовому труду".
Кастер Семеня	южноафриканская легкоатлетка, специализируется на дистанциях 800 и 1500 метров. Двукратная олимпийская чемпионка (2012 и 2016 годов), двукратная чемпионка мира на дистанции 800 метров. Известа своей гермафродитностью (много мужских гормонов). Скандальные расследования о её половой принадлежности.
А был ли мальчик?	Крылатая фраза из романа Максима Горького "Жизнь Клима Самгина", произнесённая одним эпизодическим персонажем в конце первой серии — когда в полынье ищут утонувшего там Бориса Варавку. В устойчивом, вошедшем в обиход, варианте.
борзые щенки	Именно ИМИ брал взятки Ляпкин-Тяпкин из "Ревизора".
зарыть талант в землю	Этот фразеологизм хоть и про упущенную одарённость (губление способностей), однако в оригинале про монеты. Происходит из "притчи о рабах" в Ветхом Завете.
мина	Денежная единица, равная 1/60 таланта. Также и мера веса.
Визит к Минотавру	Сюжет этого романа братьев Вайнеров (по которому был снят и многосерийный фильм в 1987 году) строится вокруг похищения скрипки Страдивари.
Кремона	Этот итальянский город в Ломбардии известен своими скрипичными мастерами (Страдивари, Амати, Гварнери итд).
Изгнание торгующих из храма	Этот сюжет про то, как Иисус выгнал продающих из священного здания. Сюжет популярен у художников (Рембрандт, Суриков итд).
Аммос Федорович Ляпкин-Тяпкин	Именно этот судья из "Ревизора" брал взятки борзыми щенками.
Коломенская верста	Этой идиомой называют очень высоких людей. А происходит она от высоченных сооружений через каждые 700 саженей на дороге к резиденции Алексея Михайловича.
гомерический смех	Это выражение происходит от описания хохота богов в поэме "Илиада"
сардонический смех	это либо хохот умирающего, либо просто жестокий/злорадный смех. Происходит из древнегреческих источников, в том числе из Гомера.
и лицо, и одежда, и душа, и мысли	В человеке все должно быть прекрасно: ... (продолжить)
Дядя Ваня	Именно из этой пьесы Чехова происходит крылатое выражение "В человеке всё должно быть прекрасно: и лицо, и одежда, и душа, и мысли".
Тришкин кафтан	Исправления, действия, улучшающие одну часть чего-либо за счёт ухудшения в другой части. Эта идиома происходит из одноименной басни Крылова.
осина	листья этого дерева действительно дрожат
заячий хвост	дрожать можно не только "как осиновый лист", но и "как ОН"
медвежий угол	эта идиома означает труднодоступное, далёкое место. Якобы в предании об основании города Ярославля князем Ярославом говорится о селении с таким названием.
Генрик Сенкевич	Лауреат Нобелевской премии по литературе за 1905 год.
Женщина, держащая плод	Второе (майориское) название этой картины -- "Куда ты идёшь?". Это практически совпадает с Quo vadis = Камо грядеши?
Юрий Сенкевич	Этот советский телеведущий участвовал как врач в экспедиции Тура Хейердала.
Quo vadis	"Куда идёшь" ("Камо грядеши") на латыни.
Генрик Сенкевич	"Потоп" -- это ЕГО роман 1884 - 1886, основанный на исторических событиях, связанных со шведским нашествием на Речь Посполитую.
Потоп	Роман Генрика Сенкевича (написание 1884 - 1886), основанный на исторических событиях, связанных со шведским нашествием на Речь Посполитую.
подвести под монастырь	идиома, обозначающая действие, которое привело кого-то другого в трудную ситуацию, обычно в форме серьёзных, часто необратимых, неприятностей от третьей стороны, наказания.
Гекатомба	Торжественное жертвоприношение из ста быков (др. греч.)
Грайи	У этих трёх сестёр был один глаз на троих, да и тот украл Персей
Персей	Именно он отсёк голову медузе Горгоне (смотря в зеркальный щит, а не на неё)
Медуза Горгона	У неё на голове вместо причёски были змеи
Тресковые войны	Дипломатический и военный конфликт между Великобританией и Исландией. Конфликт, начавшийся в 1952 году как дипломатический, в 1958—1976 годах неоднократно переходил в военную фазу. Причиной конфликта стало поэтапное расширение Исландией границ исключительной экономической зоны — с 4 до 200 морских миль вокруг острова в Северной Атлантике.
Тресковые войны	Конфликт между Исландией и Великобританией. Должны щёлкать ОНИ.
каталог Мессье	список из 110 астрономических объектов, составленный французским астрономом и впервые опубликованный в 1771 (или 1774) году.
Шарль Мессье	Этот французский в 18-19 веках открыл много новых комет. Известен также своим каталогом астрономических объектов.
Андромеда	Именно её, прикованную к скале в качестве жертвы морскому чудовищу, спас Персей
Туманность Андромеды	социально-философский научно-фантастический роман Ивана Антоновича Ефремова. Написан в 1955—1956 годах.
Иван Ефремов	"Туманность Андромеды" (1955-1956). Автор романа.
Меланхолия	На этой гравюре Альбрехта Дюрера можно увидеть магический квадрат
Час быка	самое глухое время — (два часа ночи) — власти злых духов и чёрного (злого) шаманства, по старинным монгольским суевериям.
Час быка	Социально-философский научно-фантастический роман-антиутопия Ивана Антоновича Ефремова о путешествии экипажа земного звездолёта людей из далёкого будущего: жителей коммунистической Земли — на планету Торма́нс на сверхсветовом звездолёте «Тёмное Пламя», передвигавшемся в гиперпространстве, отправленном в космос планетой Земля с гуманитарной миссией.
Иван Ефремов	"Час быка" (1970), автор романа.
Ставить телегу впереди лошади	Эта идиома означает "Нарушать принятый, заведённый и логичный порядок действий; поступать вопреки здравому смыслу."
банька с пауками	Свидригайлов из романа "Преступление и наказание" считал, что вечность — это ОНА (три слова)
Гуппи	Эти популярные аквариумные рыбки получили своё название в честь английского священника и учёного.
айва	Этимология слова "мармелад" восходит именно к этому растению.
Остров Сахалин	книга А. П. Чехова, написанная в 1891—1893 годах в жанре путевых записок после путешествия писателя летом — осенью 1890 года.
Граф Полусахалинский	После заключения мира с Японией по итогам Русско-японской Войны Витте получил в народе именно это прозвище.
Портсмутский мирный договор	договор между Российской империей и Японией, завершивший русско-японскую войну 1904—1905 годов.
Велика Россия, а отступать некуда, позади Москва!	Эта фраза приписывается панфиловцу политруку Василию Клочкову.
Фридрих I Барбаросса	По немецкой легенде, ОН спит в пещере, дожидаясь, пока не придёт его час.
План "Барбаросса"	кодовое название разработанного с декабря 1940 по июнь 1941 года плана нападения нацистской Германии на СССР, реализацию которого предприняли впоследствии в виде одноимённой операции
Невский пятачок	условное обозначение плацдарма на левом (восточном) берегу Невы напротив Невской Дубровки, удерживаемого советскими войсками Ленинградского фронта (с 19.09.1941 по 29.04.1942 и с 26.09.1942 по 17.02.1943) в ходе битвы за Ленинград.
Операция "Тайфун"	В западной историографии битва за Москву (30 сентября 1941 года — 20 апреля 1942 года)известна как ОНА.
Вешние воды	повесть Ивана Сергеевича Тургенева, рассказывающая историю любви русского помещика за границей.
Основное повествование ведётся как воспоминания 52-летнего дворянина и помещика Санина о событиях 30-летней давности, случившихся в его жизни, когда он путешествовал по Германии.
Янтарная комната	Именно ОНА пропала в 1945 в Кёнигсберге
Кёнигсберг	Янтарная комната пропала в 1945 году именно в этом городе.
Коза Ностра	На сицилийском языке это означает "наше дело". (ответ русскими буквами)
Наше дело	Cosa nostra переводится с сицилийского (итальянского) языка именно так
В окопах Сталинграда	повесть Виктора Некрасова, рассказывающая о героической обороне Сталинграда в 1942—1943 годах. Впервые опубликована в 1946 году в журнале «Знамя». Удостоена Сталинской премии (1947). Неоднократно переиздавалась большими тиражами, но после лишения автора советского гражданства изымалась из публичных библиотек.
Виктор Некрасов	"В окопах Сталинграда", 1946, автор
Трептов-парк	Памятник "Воин-освободитель" в Берлине находится именно в НЁМ.
Воин-освободитель	памятник в Трептов-парке, часть триптиха ("Родина мать" и "Тыл - фронту").
Евгений Вучетич	Автор композиций "Родина-Мать" на Мамаевом кургане, "Воин-победитель" в берлинском Трептов-парке и "Перекуем мечи на орала" в Нью-Йорке.
Мамаев курган	Именно на нём стоит "Родина-мать" в Волгограде
Тыл - фронту	Третья часть триптиха "Родина-мать" и "Воин-освободитель". В Магнитогорске.
Письмо с фронта	жанровая картина советского живописца А. И. Лактионова, законченная художником в 1947 году и изображающая близких и соседей солдата-фронтовика за чтением
Письмо с фронта	Известная картина Александра Лактионова. Сталинская премия.
Александр Лактионов	"Письмо с фронта" (1946-1947). Художник.
Высота 102	Мамаев курган в военное время обозначался именно так.
Перекуем мечи на орала	Эта статуя Евгения Вучетича установлена перед зданием ООН в Нью-Йорке.
Клаус Шенк фон Штауффенберг	полковник вермахта, один из основных участников группы заговорщиков, спланировавших Заговор 20 июля и осуществивших покушение на жизнь Адольфа Гитлера 20 июля 1944 года. Поставил портфель со взрывчаткой в помещение, где должно было проходить совещание Гитлера.
