Эжен Ионеско	Автор пьесы "Стулья" (1952).
Иван Федоров	По традиции, ОН часто называется «первым русским книгопечатником». издатель первой точно датированной печатной книги «Апостол» в Русском царстве, а также основатель Острожской типографии в Русском воеводстве Речи Посполитой.
Речь Посполитая	федеративное государство, возникшее в результате объединения Королевства Польского и Великого княжества Литовского на основе Люблинской унии в 1569 году и ликвидированное в 1795 году с разделом его земель между Российской империей, Пруссией и Австрией.
Чичисбей	в Италии (преимущественно в 18 веке) — постоянный спутник состоятельной замужней женщины, сопровождающий её на прогулках и увеселениях, зачастую также её любовник.
койне	функциональный тип языка, используемый в качестве основного средства повседневного общения с широким диапазоном коммуникативных сфер в условиях регулярных социальных контактов между носителями разных диалектов (этнолектов) или языков.
Василий Пукирев	Неравный брак (1862) — кто художник?
Павел Федотов	Сватовство майора (1848) — кто художник?
100 рук, 50 голов	У гекатонхейр СТОЛЬКО ПЕРВЫХ и СТОЛЬКО ВТОРЫХ.
8	Счастливое число для китайцев.
4	Несчастливое число для китайцев. По созвучию со словом "смерть".
520	ЭТОТ китайский цифровой код означает "Я люблю тебя".
Я люблю тебя	Популярный китайский цифровой код 520 означает ЭТО.
панграмма	скажите по-гречески "все буквы".
"Цветы лиловые полей" и "Поворотный пункт"	Эти два фильма делят антирекорд Оскара: 11 номинаций и ни одной победы.
Тонкая синяя линия	фраза и символ, которые используются правоохранительными органами во многих странах мира. Эта фраза фигурально означает и позиционирует правоохранительные органы как тонкую грань между порядком и анархией.
протазан	почётное колющее древковое белое или холодное оружие, разновидность копья или алебарды. Сначала появился у ландскнехтов, но потом стал чисто церемониальным.
кронверк	наружное вспомогательное укрепление в европейской фортификации XVI—XVIII веков, служившее для усиления крепостного фронта и состоявшее из одного бастиона и двух полубастионов на флангах, придававших ему вид короны.
Трапезундская империя	средневековое греко-православное государство, образовавшееся в 1204 году на побережье Чёрного моря, на северо-востоке Малой Азии, а также частично в Крыму и в Предкавказье, в результате распада Восточной Римской (Византийской) империи. На первых порах представляло собой весьма удобную, в условиях малоазийского политического хаоса, прибрежную буферную зону, преимущественно греческие правители которой некоторое время весьма успешно играли на противоречиях между Грузинским царством, сельджукскими владениями, Никейской империей, итальянскими талассократиями Венецией и Генуей.
трамонтана	холодный северный и северо-восточный ветер в Италии, Испании, Франции, Хорватии. Является разновидностью катабатического ветра (боры). Возникает из-за разницы между высоким давлением в материковой Европе и низким в Средиземном море.
драгоман	официальная должность переводчика и посредника между ближневосточными и азиатскими державами, и европейскими дипломатическими и торговыми представительствами. Должность предполагала как переводческие, так и дипломатические функции.
контра	распространённое во время Гражданской войны в Советской России разговорное наименование деятельности контрреволюционных сил и их самих как таковых — сторонников Белого движения и прочих; впоследствии — обозначение мнимых или реальных противников советской власти. Одним словом.
акмеизм	поэтическое направление в русской поэзии 1910-х годов. Акмеисты провозглашали материальность, предметность тематики и образов, точность слова. Культ конкретности, «вещественности» образа, «искусство точно вымеренных и взвешенных слов». Его программа была впервые публично оглашена 19 декабря 1912 года в кабаре «Бродячая собака» в Петербурге. Николай Гумилёв.
Бродячая собака	литературно-артистическое кабаре, один из центров культурной жизни Серебряного века. Артистическое кафе или арт-подвал действовало с 31 декабря 1911-го по 3 марта 1915 года в доме № 5 по Михайловской площади (ныне — Площадь Искусств) Петрограда. Двумя словами.
Сайгон	неофициальное название «легендарного» кафе в Ленинграде (Невский проспект, дом 49, Владимирский проспект, дом 2) при ресторане «Москва», место обитания «героев андеграунда», «непризнанной» и «гонимой» в позднесоветские годы (годы «застоя») «творческой интеллигенции», так называемых «неформалов».
бактриан	двугорбый верблюд
дромедар	одногорбый верблюд
хавтагай, дикий верблюд	третий вид верблюдов, оба варианта названия.
фанза	тип традиционного жилища, распространенный в Китае, Корее и на Дальнем Востоке России у коренных народов.
Прямоугольное, как правило двух- или трёхкомнатное строение, каркасно-столбовое, с соломенными, саманными или кирпичными стенами и двускатной крышей из соломы, тростника или черепицы.
Миледи Винтер	героиня романа Александра Дюма «Три мушкетёра» (1844): злодейка-обольстительница, шпионка кардинала Ришельё, один из главных антигероев романа, супруга Атоса в прошлом. Её прототипом является Люси Хей — брошенная любовница Бекингэма, ставшая агентом Ришельё из-за ревности.
Атман	одно из центральных понятий индийской философии и религии индуизма: вечная, неизменная духовная сущность, абсолют, осознающий своё собственное существование. Термин используется для описания высшего «Я» человека и всех живых существ.
Манта / гигантский морской дьявол	вид скатов одноимённого рода семейства орляковых отряда хвостоколообразных, надотряда скатов. Одним словом и тремя словами.
манат	денежная единица Азербайджанской Республики, равная 100 гяпикам
арапник	длинный охотничий бич или кнут с пеньковым, волосяным или шёлковым навоем, размещённый на коротком кнутовище, к псовой охоте (при езде) по зайцу, лисице и волкам.

Первоначально применялся в псовой охоте для хлопанья и порсканья зайцев. В настоящее время используется при исполнении цирковых номеров с хищными и крупными животными и в джигитовке (так, громкое щёлканье его концом оказывает на лошадь рефлекторное воздействие, обеспечивая быстрый бег в постоянном ритме).
ужасный листолаз	маленькая лягушка из рода семейства древолазов. Одно из самых ядовитых позвоночных животных на Земле. Яд — батрахотоксин.
древолазы	Ужасный листолаз — это вид, а из какого семейства?
Eleven plus two = twelve plus one. 11 + 2 = 12 +1.	известная анлоязычная и словесная, и цифровая анаграмма. Назовите в обоих видах.
Homo ludens	трактат, опубликованный в 1938 году нидерландским историком и культурологом Йоханом Хёйзингой.
Йохан Хёйзинга	Homo ludens (1938) — кто автор трактата / эссе?
Том Марволо Реддл	Имя Волан-де-Морта при рождении.
Волан-де-Морт	Том Марволо Реддл — это ОН.
панграммы	ОНИ — это анаграммы алфавита
Анаграммы алвафита	Паграммы являются АЛЬФАМИ ИКСА. Назовите АЛЬФЫ ИКСА.
ликторы	В Древнем Риме — вооружённые топорами и фасциями государственные служащие, которые сопровождали знатных римлян.
Валерий Брюсов	ОН иногда использовал псевдоним Аврелий.
17	ЭТО число было несчатсливым в Риме, из-за того, что его записаь значила "Я жил".
VIXI	Римская запись несчастливого числа, означала "я пожил" (то есть "я умер").
Зевгма	фигура речи, заключающаяся в том, что слово, которое в предложении образует однотипные синтаксические сочетания с другими словами, употребляется только в одном из этих сочетаний, в других же опускается (Почтен дворянин за решёткою своей башни, купец — в своей лавке (Пушкин, «Сцены из рыцарских времен») — слово "почтен" здесь употреблено только один раз, во второй раз — подразумевается).
Бумеранг	сборник стихов Игоря Губермана.
Юрий Лужков	В перформансе одного художника ОН был назван "уклюжий вор".
уклюжий вор	В перформансе одного художника Юрий Лужков был назван ТАК.
Борис Виан	Этот французский поэт и писатель НЕ имеет славянского/русского происхождения, а имя получил в честь героя оперы.
Вернон Салливан	Самый известный псевдоним Бориса Виана, по легенде, это был афроамериканец, которому нельзя было публиковаться в США.
Я приду плюнуть на ваши могилы	Первый, самый популярный и самый издаваемый роман Бориса Виана.
Борис Виан	ОН собирался "плюнуть на ваши могилы".
Пена дней	роман французского писателя Бориса Виана. Написан с марта по май 1946 года, впервые опубликован в апреле 1947 года. Богат каламбурами. Например, здесь есть пародийный персонаж Жан-Поль Партр.
Борис Виан	Пена дней (1947) — кто автор романа?
тёща	специальное приспособление, используемое в качестве дополнительной опоры для кия при нанесении удара. В русском бильярде называется НЕ мазик/машинка, а ТАК.
Кабала святош	Пьеса Булгакова про Мольера.
Михаил Булгаков	"Кабала святош" (1927) — кто автор пьесы?
Avida dollars	Известная образованная из имени и фамилии Дали анаграмма, которая значит "жадный на доллары".
Сальвадор Дали	Его назвали "Avida dollars" (жадный на доллары).
Владимир Набоков	ЭТОТ писатель любил вставлять в свои книги персонажей с именами, являющимися анаграммами его имени и фамилии.
Десятая глава "Евгения Онегина".	считается, что последняя ОНА была написана в Болдинской «самоизоляции» в 1830 году, однако в октябре была сожжена поэтом по цензурным соображениям
Десятая	ЭТА глава "Евгения Онегина" утеряна/сожжена.
Евгений Онегин	Десятая глава ЭТОГО произведения утеряна/сожжена.
спаниель - апельсин	Часто эксплуатируемая анаграмма про собаку и фрукт.
Аристотель Фиораванти	итальянский архитектор, инженер. В 1475 году прибыл в Россию. Построил Успенский собор в Московском Кремле (1475—1479), участвовал в походах на Новгород (1477—1478), Казань (1482) и Тверь (1485) как начальник артиллерии и военный инженер.
Огюст Монферран	Французский архитектор. Создатель Исаакиевского собора и Александровской колонны в Санкт-Петербурге.
Антиох Кантемир	русский поэт-сатирик и дипломат молдавского происхождения, деятель раннего русского Просвещения. Наиболее крупный русский поэт силлабической эпохи (до реформы Тредиаковского-Ломоносова). Отмечают, что его творчество сыграло значительную роль в развитии русского литературного языка и стихосложения
Силлабическое стихосложение	принцип деления стиха на ритмические единицы, равные между собой по числу слогов, а не по числу ударений и схеме их расположения. Двумя словами.
аспирин	ЕГО реклама содержала вопрос «Pain, Sir?»
Meg Ryan	Псевдоним ЭТОЙ актрисы выбран якобы для подчеркивания её немецкого происхождения.
Маргарет	Мэг — уменьшительная форма ЭТОГО имени.
Ихтис	древний акроним (монограмма) имени Иисуса Христа, состоящий из начальных букв слов: Ἰησοῦς Χριστός, Θεοῦ Υἱός, Σωτήρ (Иисус Христос Божий Сын Спаситель).
Часто изображался аллегорическим образом в виде рыбы.
Иисус Христос	Ихтис — это монограмма ЕГО имени.
секира, кариес	ОНА — лекарство от НЕГО.
портик	в классической архитектуре — выступающая часть здания, крытая галерея, образованная колоннадой или аркадой, имеющей собственное перекрытие: антаблемент, увенчанный аттиком или треугольным фронтоном.
на заводе Михельсона	Покушение Фанни Каплан на Ленина произошло ТАМ.
альфаграмма	перестановка букв слова, в которой все буквы упорядочены по алфавиту.
ледоруб и ледобур	Эти два инструмента альпинистов являются анаграммами.
Бробдингнег	Страна Великанов из "Путешествий Гулливера".
Гитлер	ОН сбрил пышные усы, потому что с ними неудобно было надевать противогаз.
Они мешали надевать противогаз.	По одной из версий, Гитлер сбрил более пышные усы в прусском стиле по ЭТОЙ причине.
Генри Лайон Олди	псевдоним украинских писателей-фантастов Дмитрия Громова и Олега Ладыженского. Соавторы пишут как фэнтези, так и научную фантастику; как в большой, так и в малой форме.
Дмитрий Громов и Олег Ладыженский	ОНИ пишут под псевдонимом "Генри Лайон Олди"
Поль Корню	французский механик-изобретатель и авиатор; пионер вертолетостроения; первый в мире человек, поднявшийся в воздух на вертолёте (3 (13) ноября 1907).
1907	Первый полёт на вертолёте выполнил Поль Корню в ЭТОМ году.
вертикаль	Если в вопросе есть "кильватер" — это часто намёк на НЕЁ.
turnip	репа по-английски
Гюзла / Гусли	Мистификация Проспера Мериме 1827 года. Якобы сборник песен балканских славян. Одним словом.
Проспер Мериме	ОН в 1827 году написал мистификацию балканских/сербских песен «Гусли или Сборник иллирийских песен, записанных в Далмации, Боснии, Хорватии и Герцеговине».
база Мериме	база данных французского министерства культуры, в которой собрана информация об исторических памятниках Франции. Ведётся с 1978 года. Сетевая версия доступна с 1995 года.
Дмитрий Авалиани	Этот русский поэт был известен составлением палиндромов и анаграмм.
анаграммы и палиндромы	Всегда, когда в вопросе Дмитрий Авалиани, нужно искать ПЕРВЫЕ или ВТОРЫЕ.
Мулета	кусок ярко-красной материи, которым во время корриды тореадор дразнит быка.
Сталинец	название ФК "Зенит" с 1929 по 1939 год-
Зенит	ЭТОТ клуб до 1940 года назывался "Сталинец".
равноправки	Феминисток Коллонтай пренебрежительно назвала ТАК.
Александр Потебня	русский и украинский языковед, литературовед, философ. Член-корреспондент Императорской Санкт-Петербургской академии наук, первый крупный теоретик лингвистики в царской России. Его имя носит Институт языкознания НАН Украины.
зувемби	неологизм, обозначающий зомбиподобную нежить, результат колдовских обрядов вуду. Впервые существа упоминаются в рассказе Роберта Говарда «Голуби преисподней».
Голуби преисподней	рассказ ужасов Роберта Говарда из цикла «Сверхъестественный юго-запад». Опубликован после смерти автора, в 1938 году в популярном журнале Weird Tales. По мнению Стивена Кинга и некоторых других авторитетных литераторов, является одним из наиболее страшных рассказов в англоязычной литературе. По стилистике новелла близка произведениям Уильяма Фолкнера, а по сюжету и общей концепции перекликается с рассказами Амброза Бирса, являясь литературным шедевром Южной готики. Рассказ входит в число тринадцати наиболее страшных рассказов по версии авторитетного американского журнала литературы ужасов «Сумеречная зона»
Роберт Говард	"Голуби преисподней" -- кто автор рассказа?
вендиго	дух-людоед в мифологии алгонкинов. Первоначально воспринимался как символ ненасытного голода и голодной зимы, впоследствии стал служить предостережением против любых излишеств человеческого поведения.

Истоки современного образа восходят к повести популярного британского писателя Э. Блэквуда, к комиксам «Марвел» 1970-х гг. и к одноимённому образу из бестселлера С. Кинга «Кладбище домашних животных».
Олифант	средневековый охотничий рог из слонового бивня. Наиболее известен ОН рыцаря Роланда.
Sturm und Drang	Движение "Буря и натиск" по-немецки называлось ТАК.
Альберт Шпеер	личный архитектор Гитлера, рейхсминистр вооружения и военного производства (1942—1945). 1 октября 1946 года Международный военный трибунал в Нюрнберге признал его виновным в совершении военных преступлений и преступлений против человечности и приговорил к 20 годам тюремного заключения. 30 сентября 1966 года он покинул тюрьму Шпандау, отбыв полностью срок заключения.
архитектор Гитлера	Альберт Шпеер — это личный ПЕРВЫЙ ВТОРОГО.
книга Кинга	В вопросах часто "цитата Тацита" заменяет ЕЁ
Нагайна	и жена главного змея в «Рикки-Тикки-Тави», и змея Волан-де-Морта в «Гарри Поттере».
распадок	элемент рельефа местности, представляющий собой низменность у подножья (на стыке) соседних сопок или пологих гор. Обычно ИМ называют достаточно длинную, от одного километра, территорию, пролегающую между крупными сопками или целыми хребтами. В скалистой местности аналогом является ущелье.
Нассим Николас Талеб	ОН в своей книге ввёл концепцию "чёрного лебедя".
черный лебедь	Нассим Николас Талеб известен введением ЭТОГО понятия
Авиакатастрофа над базой Туле	ОНА произошла 21 января 1968 года, когда после возникновения пожара на борту стратегического бомбардировщика B-52 экипаж был вынужден экстренно покинуть самолёт над базой ВВС США Гренландии.
21 января 1968	авикатастрофа B-52 над базой Туле произошла в ЭТУ дату.
хамон	испанский национальный деликатес, сыровяленый свиной окорок.
из свиней	хамон делают из НИХ.
Намибия	в ЭТОЙ стране на выборах в 2020 году победил политик по имени Адольф Гитлер.
Промокашка	колоритный бандит из "Место встречи изменить нельзя", роль которого сыграл Иван Бортник.
Марк Эмилий Лепид	Не позже 49 года до н. э. примкнул к Гаю Юлию Цезарю, в 48 году управлял Ближней Испанией, где смог бескровно подавить мятеж. За свои военные заслуги получил триумф и консулат на 46 год до н. э. В эти годы Лепид находился на первых позициях в окружении Цезаря и мог рассматриваться как его потенциальный преемник на посту диктатора.
Тантра	общее обозначение эзотерических индийских традиций, представленных главным образом в буддизме, бон и индуизме, использующих особые тайные практики и инициации, которые ведут к освобождению и духовному развитию, и считающих данные методы наиболее эффективными.
андроним	именование женщины по имени, фамилии или прозвищу её мужа (например, Долинюк — Долинючка, Воробей — Воробьиха, Онофрийчук — Онофрийчучка, Тимошенко — Тимошенчиха и.т.п.)
шкала Бортля	девятиуровневая шкала яркости ночного неба в определённом месте. Она количественно определяет астрономическую наблюдаемость небесных объектов и помех, вызванных световым загрязнением
Sky & Telescope	американский ежемесячный научно-популярный журнал, освещающий все аспекты любительской астрономии.
статья 228 УК РФ	ОНА стала молодежным мемом «Незаконное приобретение, хранение, перевозка, изготовление, переработка наркотических средств, психотропных веществ или их аналогов».
Щ-854. Один день одного зэка	"Один день Ивана Денисовича" изначально назывался ТАК.
Щ-854	Главный герой повести "Один день Ивана Денисовича".
Гармония сфер	античное и средневековое учение о музыкально-математическом устройстве космоса, характерное для пифагорейской и платонической философских традиций.
Мировая музыка	"Гармония сфер" Пифагора, но двумя словами на одну букву.
Опросник Марселя Пруста	анкета знаменитого французского писателя, своими ответами прославившего такого рода анкеты.
Марсель Пруст	ЭТОТ писатель известен опросниками/анкетированием.
Феномен Пруста	Благодаря тому, что в произведении герой с помощью запахов вспоминает события своей жизни, эффект ассоциации запахов с памятными событиями получил ТАКОЕ название.
Дао	одна из важнейших категорий китайской философии. Конфуций и ранние конфуцианцы придали ему этическое значение, истолковав как «путь человека», то есть нравственное поведение и основанный на морали социальный порядок.
Дао	ОНО вечно и не имеет имени»
Anemic Cinema	Дадаистский/сюрреалистический фильм Марселя Дюшана, 1926.
Марсель Дюшан	Дадаитский короткий фильм Anemic Cinema снял ОН.
День Шакала	роман английского писателя Фредерика Форсайта о попытке вождей подпольной организации OAS убить президента Франции Шарля де Голля руками наёмного профессионального убийцы, и о противодействии этой попытке со стороны французских силовых структур. 1971 год.
Фредерик Форсайт	"День Шакала" (1971) -- кто автор романа?
буркини	купальный костюм для мусульманок, разработанный ливанским дизайнером Ахедой Занетти
бодикини	"буркини" иначе называется ТАК.
фейскини	головной убор в виде маски, закрывающий голову, лоб, лицо и шею и оставляющий небольшую прорезь для глаз, рта и носа. Маска предназначена для пловцов и любителей пляжного отдыха
Ахеда Занетти	ОНА придумала буркини, мусульманский костюм для купания женщин.
Марк Кокцей Нерва	римский император с 18 сентября 96 года по 25 января 98 года, основатель династии Антонинов и первый из «пяти хороших императоров».
Пять хороших императоров	последовательно правившие римские императоры из династии Антонинов: Нерва, Траян, Адриан, Антонин Пий, Марк Аврелий (первое время его соправителем был Луций Вер). За время их правления (96—180 годы н. э.), которое отличалось стабильностью и отсутствием репрессий, Римская империя достигла своего наивысшего расцвета.
Скорпион Тринидада	В марте 2011 года ЭТО сорт перца чили занесён в книгу рекордов Гиннесса как самый острый перец в мире. По шкале Сковилла его жгучесть составляет 1,46 млн единиц
сорт перца чили	Скорпион Тринидада — это ОН. Тремя словами.
Зевксис	Однажды ОН написал виноград столь правдоподобно, что птицы прилетали клевать его.
виноград	Зевксис написал ЕГО столь правдоподобно, что удалось обмануть даже птиц.
Да не судит башмачник выше обуви	Апеллесу приписывают рождение ЭТОЙ римской поговорки.
Апеллес	ЕМУ приписывают создание поговорки "Да не судит башмачник выше обуви!"
Кампаспа	любовница царя Александра Македонского (правил 336—323 до н. э.) из фессалийского города Ларисы, ставшая источником вдохновения для художника Апеллеса (~ 370—306 гг. до н. э.).
Мармеладные мишки	ИХ покрывают точайшим слоем пчелиного воска, чтобы они не слипались.
Приключения мишек Гамми	Про мармеладных мишек снят ЭТОТ диснеевский мультсериал.
Киго	в классическом японском хайку, рэнга и рэнку — слово или выражение, указывающее на время года, к которому относится изображаемая в тексте картина.
Сезонное слово	Киго в японской поэзии — это ОНО.
У неё два хвоста	Особенность русалки с логотипа Старбакс.
Это было лучшее из всех времен, это было худшее из всех времен	Известная первая фраза, с которой начинается первая глава "Повести о двух городах" Диккенса.
Повесть о двух городах	"Это было лучшее из всех времен, это было худшее из всех времен" — так начинается первая глава ЭТОГО романа.
Променадные концерты BBC	лондонский международный ежегодный музыкальный (преимущественно классической музыки) фестиваль, крупнейший в Великобритании. Основан в 1895 году. До 1941 года проходил в концертном зале Куинс-холл, с 1941 — в Королевском Альберт-холле.
Краткая поездка в быстрой машине	Известная пьеса Джона Адамса
Джон Кулидж Адамс	"Краткая поездка в быстрой машине" — кто композитор пьесы?
Заводной апельсин	"Метод Людовика" применялся в ЭТОМ романе и его экранизации.
Метод Людовика	Сыворотка, которую вводили Алексу во время его психологического программирования, очень напоминала по действию апоморфин, но была гораздо более мощным средством. После инъекции препарата пациента фиксировали в кресле, обеспечивали неподвижность его головы, вставляли специальные расширители век, не позволяющие ему закрывать глаза, и в таком виде ввозили в кинозал.

Описан ОН.
Бетховен	Музыка ЭТОГО композитора фигурирует в "Заводном апельсине".
метемпсихоз	реинкарнация, но по-гречески.
Секстант	Галактика Бэби-Бум находится в ЭТОМ созвездии.
Субару	8,2-метровый оптический телескоп, принадлежащий японской Национальной астрономической обсерватории, но расположенный в обсерватории Мауна-Кеа, на одноимённом вулкане, Гавайи. Назван по японскому названию звёздного скопления Плеяды.
Плеяды	ОНИ по-японски называются "Субару".
Субару	Плеяды по-японски называются ТАК.
Галактика Бэби-Бум	ОНА является рекордсменом по звездообразованию, её прозвали «экстремальной звёздной машиной», потому что она производит 4000 звёзд в год (одна звезда каждые два часа).
Диаграмма Дынкина	вид графов, в которых некоторые рёбра удвоены или утроены (рисуется как двойная или тройная линия). Кратные рёбра, с некоторыми ограничениями, являются ориентированными.
Гэта	японские деревянные сандалии в форме скамеечки, одинаковые для обеих ног (сверху имеют вид прямоугольников со скруглёнными вершинами и, возможно, немного выпуклыми сторонами).
из дерева	японские сандалии гэта делаются из ЭТОГО.
Стулья	В ЭТОЙ пьесе Ионеско героиня постоянно приносит новые предметы мебели для невидимых гостей.
пальцы	У нейросетей пока что остаются проблемы с ИХ изображением.
аспираты	Согласные с придыханием называются ТАК. (типа H в словах horrible, headache).
препперы	Участники субкультуры выживальщиков в английском языке называются ТАК.
No quarter	"Не проявлять пощады" по-английски не только "No mercy", но и ТАК.
Мужик	Всех бульдогов Ив Сен-Лорана звали ТАК.
Ив Сен-Лоран	ОН называл своих бульдогов Moujik I, Moujik II и так далее.
Ксанаду	принятое в западноевропейской традиции Нового времени название Шанду, летней резиденции монгольского императора Хубилая. В настоящее время используется в ряде имён собственных, в том числе в ассоциации этого слова с роскошной и праздной жизнью.
Сэмюэл Тэйлор Кольридж	ОН ввёл в англоязычное употребление слово "Ксанаду".
Мар-а-Лаго	частная резиденция во Флориде, принадлежащая бывшему президенту США Дональду Трампу; формально — постоянное место жительства семьи Трампа с ноября 2019 года.
Дональд Трамп	Мар-а-Лаго — это ЕГО резиденция.
Гражданин Кейн	Ксанаду — так в фильме 1941 года назывался ЕГО роскошный замок.
Яхве, Элохим	В XVIII веке исследователи заметили, что в повторяющихся рассказах Пятикнижия в одном случае употребляется ПЕРВОЕ, а в другом — ВТОРОЕ.
Томы	Овидий был сослан в ЭТОТ город (ныне Констанца в Румынии).
Жудец	административно-территориальная единица Румынии первого уровня. Далее они делятся на города и коммуны.
Константин Устинович Черненко	У НЕГО было прозвище "кучер".
кучер	Прозвище Константина Черненко
сирены	ОНИ в греческой мифологии — наполовину женщины, наполовину птицы.
